ship_type,ship_id,ship_name
Cargo,2006,KONYA
Cargo,2764,KAROLI
Cargo,2929,POLA MUROM
Cargo,2934,POLA UGLICH
Cargo,3062,ANGORA
Cargo,3162,REINBEK
Cargo,3338,KERLI
Cargo,3575,HELT
Cargo,3615,FINNKRAFT
Cargo,3636,FINNHAWK
Cargo,5107,AUTO BAY
Cargo,5396,RAMONA
Cargo,5558,FINNTIDE
Cargo,5567,FINNWAVE
Cargo,5622,FINNMILL
Cargo,5628,FINNPULP
Cargo,6046,SEAGARD
Cargo,6065,EIRA
Cargo,6220,PRIMA FORTUNA
Cargo,6223,MERI
Cargo,6500,LINDA
Cargo,37523,HELGE
Cargo,115307,MELUSINE
Cargo,117309,VICTORINE
Cargo,121733,BF CARTAGENA
Cargo,121902,X-PRESS ETNA
Cargo,122006,IDUNA
Cargo,122250,WILSON SKY
Cargo,122562,THURKUS
Cargo,122649,SOLONG
Cargo,123061,VLADIMIR
Cargo,123147,ARETHOUSA
Cargo,123222,WMS GRONINGEN
Cargo,123303,HEINRICH SCHEPERS
Cargo,123774,NORDIC HAMBURG
Cargo,124152,VARVARA
Cargo,124278,ASTRORUNNER
Cargo,124457,EMSRUNNER
Cargo,124538,BEATA
Cargo,124752,TOLLUND
Cargo,125326,BLUEBILL
Cargo,125380,PIRITA
Cargo,125721,MERITA
Cargo,130867,SELENE PRAHM
Cargo,132427,PHOENIX II
Cargo,132925,CONTAINERSHIPS 6
Cargo,144106,NORDIC PHILIP
Cargo,144628,ARK FORWARDER
Cargo,145002,CEMSOL
Cargo,145203,VITIM
Cargo,145641,RUTH
Cargo,145692,HANNA
Cargo,145926,"NAVI BALTIC"
Cargo,145981,BF FORTALEZA
Cargo,146036,MAUREEN S
Cargo,146069,SPANACO FIDELITY
Cargo,146097,WILHELM
Cargo,146140,WILSON SUND
Cargo,146336,BELBEK
Cargo,148995,BALTICA
Cargo,150545,RIG
Cargo,150705,CATHARINA SCHULTE
Cargo,151630,HENNEKE RAMBOW
Cargo,152955,WALTER HAMMANN
Cargo,153800,AMANDA
Cargo,155585,TENDER1
Cargo,155711,MAERSKMCKINNEYMOLLER
Cargo,156758,ANGLIA SEAWAYS
Cargo,157070,FREESIA SEAWAYS
Cargo,157073,BEGONIA SEAWAYS
Cargo,157110,MAGNOLIA SEAWAYS
Cargo,158628,PETUNIA SEAWAYS
Cargo,158740,PRIMULA SEAWAYS
Cargo,159287,FICARIA SEAWAYS
Cargo,159418,BIRTHE BRES
Cargo,181427,MISANA
Cargo,181730,HVITANES
Cargo,182333,TRADER BULK
Cargo,182341,SILVER PEARL
Cargo,182353,EYSTNES
Cargo,182370,"NAVEN"
Cargo,182391,HAUKUR
Cargo,182418,TIDAN
Cargo,182425,EKEN
Cargo,182428,VINGAREN
Cargo,183675,CITY OF ROME
Cargo,188849,ANINA
Cargo,188914,ADELINA D
Cargo,195991,KAREN C
Cargo,204416,STORTEBEKER
Cargo,204427,PHANTOM
Cargo,204431,SAXUM
Cargo,204546,MSC AMY
Cargo,204565,PINTA
Cargo,204772,FRI PORSGRUNN
Cargo,204901,NORDEROOG
Cargo,205264,SUEDEROOG
Cargo,205458,AMBER SPIRIT
Cargo,205520,MULTIMAR
Cargo,205553,HOOGE
Cargo,205637,LIV KRISTIN
Cargo,205767,LISTER
Cargo,205994,WYBELSUM
Cargo,206401,TRANSOSPREY
Cargo,206519,TASMAN
Cargo,206635,ARA ROTTERDAM
Cargo,212317,MSC MANDRAKI
Cargo,222305,SANDETTIE
Cargo,222372,LURO
Cargo,222824,LECKO
Cargo,226006,FREYA
Cargo,226912,HENDRIKA MARGARETHA
Cargo,231568,ENFORCER
Cargo,245589,ANJELIERSGRACHT
Cargo,246960,NJORD
Cargo,253976,FOREST
Cargo,254047,ESL AFRICA
Cargo,254064,EMOTION
Cargo,254318,TRICA
Cargo,257347,CAROLINA
Cargo,257862,SAFFIER
Cargo,258225,PRISCILLA
Cargo,258858,DINTELBORG
Cargo,259202,TINA
Cargo,259232,SKAGENBANK
Cargo,260071,DONGEBORG
Cargo,260333,SOMERSET
Cargo,262498,SLINGEBORG
Cargo,262525,SCHIEBORG
Cargo,263477,PLYCA
Cargo,263649,DIJKSGRACHT
Cargo,264274,LINGEDIJK
Cargo,265269,VICTORIABORG
Cargo,265353,FAST HERMAN
Cargo,265510,THEA MARIEKE
Cargo,265873,STEENBANK
Cargo,266600,PITZTAL
Cargo,268459,ALANA EVITA
Cargo,268899,TERSCHELLING
Cargo,270056,AMELAND
Cargo,270219,OOCL RAUMA
Cargo,270507,ADAMAS
Cargo,270798,JADE
Cargo,271828,ZEALAND BEATRIX
Cargo,278706,GRANDE EUROPA
Cargo,281227,GRANDE MEDITERRANEO
Cargo,283730,BOGDAN
Cargo,283815,ZAMOSKVORECHYE
Cargo,284471,FALKBRIS
Cargo,284882,ATLANTIC RUNNER
Cargo,285833,STRANDJA
Cargo,287761,WILSON BILBAO
Cargo,288897,KAPITAN MIRONOV
Cargo,289583,KAPITAN YAKOVLEV
Cargo,290089,UFA
Cargo,291621,"NACC TORONTO"
Cargo,300093,VIONA
Cargo,300096,AKACIA
Cargo,300118,IRIS BOLTEN
Cargo,300161,ANNAMARIE
Cargo,300168,EMILIA
Cargo,300784,KAIE
Cargo,300801,FREDERIK
Cargo,301169,BALTIYSKIY-202
Cargo,306484,KEGUMS
Cargo,307788,STAR ISFJORD
Cargo,308314,HOEGH TRIDENT
Cargo,312793,DANUBIA
Cargo,316156,SM-PRC-107
Cargo,316201,K1
Cargo,319974,VASTANVIK
Cargo,320215,GUTE
Cargo,320466,STOCKHOLM
Cargo,322616,SYLVEIA
Cargo,323355,AMANDA
Cargo,323659,JETTEN GBG STAD VA
Cargo,326821,ATLANTIC CARTIER
Cargo,326898,STENA FORERUNNER
Cargo,327250,THULELAND
Cargo,327293,FAUST
Cargo,327685,IDA H
Cargo,332129,LAVAUX
Cargo,335231,NURI SONAY
Cargo,345789,SORMOVSKIY-3055
Cargo,345797,OMSKIY-141
Cargo,346053,OMSKIY-140
Cargo,346077,SORMOVSKIY-3056
Cargo,346084,SORMOVSKIY-3058
Cargo,346106,OMSKIY-132
Cargo,346147,BALTIYSK
Cargo,346167,OMSKIY-134
Cargo,346635,SORMOVSKIY-53
