ship_type,ship_id,ship_name,dwt,distance,period,lat,lon,dt,speed
Cargo,2006,KONYA,63200,1295.722343897214,curr,55.72777,21.08245,2016-12-15T16:19:07Z,82
Cargo,2006,KONYA,63200,1295.722343897214,prev,55.72832,21.06178,2016-12-15T16:17:06Z,100
Cargo,2764,KAROLI,5727,3094.7225921723066,curr,54.54369,18.80568,2016-12-19T12:59:02Z,97
Cargo,2764,KAROLI,5727,3094.7225921723066,prev,54.5644,18.83774,2016-12-19T12:55:01Z,107
Cargo,2929,POLA MUROM,37667,851.4919185092594,curr,59.92054,30.00686,2016-12-13T22:43:03Z,84
Cargo,2929,POLA MUROM,37667,851.4919185092594,prev,59.91764,30.021,2016-12-13T22:41:04Z,83
Cargo,2934,POLA UGLICH,37666,1098.6477849832024,curr,59.9132,30.04201,2016-12-19T02:07:04Z,108
Cargo,2934,POLA UGLICH,37666,1098.6477849832024,prev,59.91687,30.02371,2016-12-19T02:05:04Z,106
Cargo,3062,ANGORA,30046,866.6873295469799,curr,55.70835,20.81501,2016-12-15T08:33:07Z,115
Cargo,3062,ANGORA,30046,866.6873295469799,prev,55.70655,20.80155,2016-12-15T08:31:06Z,114
Cargo,3162,REINBEK,15952,875.6614930391582,curr,59.90487,30.08347,2016-12-13T20:17:04Z,101
Cargo,3162,REINBEK,15952,875.6614930391582,prev,59.90187,30.09799,2016-12-13T20:15:05Z,88
Cargo,3338,KERLI,4211,2682.704231235321,curr,54.76132,18.98187,2016-12-17T08:01:02Z,102
Cargo,3338,KERLI,4211,2682.704231235321,prev,54.73725,18.97902,2016-12-17T07:59:01Z,105
Cargo,3575,HELT,2086,4167.0140937469805,curr,54.68575,20.22571,2016-12-17T03:39:03Z,76
Cargo,3575,HELT,2086,4167.0140937469805,prev,54.68167,20.16127,2016-12-17T03:23:02Z,79
Cargo,3615,FINNKRAFT,8702,14851.932482416123,curr,54.79053,18.89155,2016-12-15T16:49:02Z,197
Cargo,3615,FINNKRAFT,8702,14851.932482416123,prev,54.6725,18.99983,2016-12-13T22:31:02Z,203
Cargo,3636,FINNHAWK,8699,1545.9567476084414,curr,59.91375,30.03851,2016-12-16T06:31:04Z,115
Cargo,3636,FINNHAWK,8699,1545.9567476084414,prev,59.91904,30.01286,2016-12-16T06:29:04Z,118
Cargo,5107,AUTO BAY,6077,1517.0973428583209,curr,59.91502,30.0328,2016-12-14T17:37:04Z,111
Cargo,5107,AUTO BAY,6077,1517.0973428583209,prev,59.90988,30.05801,2016-12-14T17:35:04Z,115
Cargo,5396,RAMONA,1529,1058.2377034379151,curr,57.6536,11.7282,2016-12-17T12:07:06Z,76
Cargo,5396,RAMONA,1529,1058.2377034379151,prev,57.65665,11.74505,2016-12-17T12:05:05Z,77
Cargo,5558,FINNTIDE,11029,802.7562939409175,curr,59.88737,30.17005,2016-12-20T03:17:03Z,60
Cargo,5558,FINNTIDE,11029,802.7562939409175,prev,59.89004,30.15668,2016-12-20T03:15:04Z,64
Cargo,5567,FINNWAVE,11029,1337.7790914089958,curr,59.91424,30.03777,2016-12-15T17:29:03Z,103
Cargo,5567,FINNWAVE,11029,1337.7790914089958,prev,59.90972,30.06001,2016-12-15T17:27:05Z,105
Cargo,5622,FINNMILL,11234,771.5800221674779,curr,59.92145,30.002,2016-12-15T09:57:04Z,109
Cargo,5622,FINNMILL,11234,771.5800221674779,prev,59.91888,30.01486,2016-12-15T09:55:04Z,107
Cargo,5628,FINNPULP,11170,1546.8458950465088,curr,54.66213,18.93311,2016-12-19T06:25:02Z,166
Cargo,5628,FINNPULP,11170,1546.8458950465088,prev,54.67507,18.94194,2016-12-19T06:23:02Z,168
Cargo,6046,SEAGARD,7226,1255.386884107163,curr,59.90843,30.06649,2016-12-20T01:57:03Z,90
Cargo,6046,SEAGARD,7226,1255.386884107163,prev,59.91272,30.04566,2016-12-20T01:55:04Z,89
Cargo,6065,EIRA,19625,1390.1226880818374,curr,59.9085,30.066,2016-12-19T14:49:03Z,97
Cargo,6065,EIRA,19625,1390.1226880818374,prev,59.91333,30.043,2016-12-19T14:47:04Z,109
Cargo,6220,PRIMA FORTUNA,3015,1846.2191831730788,curr,55.72672,21.08698,2016-12-18T00:51:06Z,100
Cargo,6220,PRIMA FORTUNA,3015,1846.2191831730788,prev,55.71674,21.11054,2016-12-18T00:43:06Z,40
Cargo,6223,MERI,4359,3276.542117974659,curr,54.45842,18.69403,2016-12-16T12:57:02Z,112
Cargo,6223,MERI,4359,3276.542117974659,prev,54.4373,18.65869,2016-12-16T12:55:07Z,105
Cargo,6500,LINDA,11487,2525.830762076969,curr,55.83518,20.86139,2016-12-15T12:59:07Z,177
Cargo,6500,LINDA,11487,2525.830762076969,prev,55.8541,20.839,2016-12-15T12:57:06Z,177
Cargo,37523,HELGE,5000,1679.9706352040357,curr,57.99721,11.76468,2016-12-20T06:17:06Z,126
Cargo,37523,HELGE,5000,1679.9706352040357,prev,57.98425,11.75003,2016-12-20T06:13:05Z,125
Cargo,115307,MELUSINE,9729,3230.3071465503854,curr,57.68228,11.83933,2016-12-14T19:57:05Z,71
Cargo,115307,MELUSINE,9729,3230.3071465503854,prev,57.67873,11.7854,2016-12-14T19:55:05Z,163
Cargo,117309,VICTORINE,9755,2208.850918737556,curr,57.65609,11.7494,2016-12-19T17:29:05Z,162
Cargo,117309,VICTORINE,9755,2208.850918737556,prev,57.64971,11.71424,2016-12-19T17:27:05Z,161
Cargo,121733,BF CARTAGENA,5218,1349.1092925284813,curr,59.90683,30.07483,2016-12-15T17:39:03Z,102
Cargo,121733,BF CARTAGENA,5218,1349.1092925284813,prev,59.90217,30.09717,2016-12-15T17:37:05Z,87
Cargo,121902,X-PRESS ETNA,11257,1048.1488892907466,curr,59.90249,30.09439,2016-12-19T15:13:03Z,76
Cargo,121902,X-PRESS ETNA,11257,1048.1488892907466,prev,59.90613,30.07705,2016-12-19T15:11:12Z,89
Cargo,122006,IDUNA,8820,6481.647053489818,curr,54.75998,18.99467,2016-12-14T15:49:01Z,131
Cargo,122006,IDUNA,8820,6481.647053489818,prev,54.70171,18.99737,2016-12-14T15:27:02Z,128
Cargo,122250,WILSON SKY,4263,176810.2654297439,curr,55.69126,21.13543,2016-12-14T14:43:06Z,0
Cargo,122250,WILSON SKY,4263,176810.2654297439,prev,54.67703,18.9902,2016-12-13T22:35:02Z,126
Cargo,122562,THURKUS,3284,3051.70199741695,curr,54.56498,18.859,2016-12-16T12:57:02Z,110
Cargo,122562,THURKUS,3284,3051.70199741695,prev,54.54402,18.82845,2016-12-16T12:55:01Z,110
Cargo,122649,SOLONG,9500,781.0683929083057,curr,59.91005,30.05787,2016-12-14T01:47:04Z,117
Cargo,122649,SOLONG,9500,781.0683929083057,prev,59.91267,30.04487,2016-12-14T01:45:04Z,117
Cargo,123061,VLADIMIR,22708,1262.209827331172,curr,59.90486,30.08275,2016-12-17T06:39:05Z,92
Cargo,123061,VLADIMIR,22708,1262.209827331172,prev,59.90915,30.06179,2016-12-17T06:37:04Z,107
Cargo,123147,ARETHOUSA,169770,1627.8113755926652,curr,54.51316,18.98008,2016-12-14T10:37:02Z,130
Cargo,123147,ARETHOUSA,169770,1627.8113755926652,prev,54.52544,18.99381,2016-12-14T10:35:02Z,133
Cargo,123222,WMS GRONINGEN,8173,1454.3578963642879,curr,59.91872,30.01553,2016-12-19T20:39:03Z,111
Cargo,123222,WMS GRONINGEN,8173,1454.3578963642879,prev,59.91378,30.03969,2016-12-19T20:37:04Z,116
Cargo,123303,HEINRICH SCHEPERS,10600,1171.7708884050803,curr,59.90443,30.08541,2016-12-15T17:49:04Z,97
Cargo,123303,HEINRICH SCHEPERS,10600,1171.7708884050803,prev,59.90049,30.1049,2016-12-15T17:47:04Z,85
Cargo,123774,NORDIC HAMBURG,13000,1101.801449672366,curr,59.91153,30.05079,2016-12-17T14:07:03Z,115
Cargo,123774,NORDIC HAMBURG,13000,1101.801449672366,prev,59.9152,30.03243,2016-12-17T14:05:04Z,112
Cargo,124152,VARVARA,75228,667.7505727463664,curr,59.91301,30.04302,2016-12-13T11:33:03Z,93
Cargo,124152,VARVARA,75228,667.7505727463664,prev,59.91079,30.05415,2016-12-13T11:31:04Z,94
Cargo,124278,ASTRORUNNER,9544,2281.851841167376,curr,57.6118,11.62322,2016-12-20T04:39:13Z,164
Cargo,124278,ASTRORUNNER,9544,2281.851841167376,prev,57.60032,11.65497,2016-12-13T18:09:05Z,95
Cargo,124457,EMSRUNNER,5499,21.70410470819422,curr,55.65434,21.158,2016-12-18T06:25:07Z,0
Cargo,124457,EMSRUNNER,5499,21.70410470819422,prev,55.65417,21.15783,2016-12-18T06:23:06Z,0
Cargo,124538,BEATA,6918,50934.03965029963,curr,55.13744,19.81967,2016-12-16T18:03:03Z,117
Cargo,124538,BEATA,6918,50934.03965029963,prev,54.6795,19.80137,2016-12-16T15:31:02Z,119
Cargo,124752,TOLLUND,4170,54416.994520825436,curr,54.78199,18.99543,2016-12-17T19:17:01Z,96
Cargo,124752,TOLLUND,4170,54416.994520825436,prev,54.66673,19.819,2016-12-17T16:23:02Z,101
Cargo,125326,BLUEBILL,37332,673.8324175749647,curr,59.90621,30.07703,2016-12-18T16:51:03Z,54
Cargo,125326,BLUEBILL,37332,673.8324175749647,prev,59.90845,30.0658,2016-12-18T16:49:04Z,50
Cargo,125380,PIRITA,7946,40.19386700890999,curr,59.87857,30.22628,2016-12-14T00:45:03Z,0
Cargo,125380,PIRITA,7946,40.19386700890999,prev,59.87837,30.22568,2016-12-14T00:43:04Z,0
Cargo,125721,MERITA,4496,47211.248733588174,curr,55.10017,19.80171,2016-12-20T00:39:03Z,133
Cargo,125721,MERITA,4496,47211.248733588174,prev,54.67559,19.80014,2016-12-19T22:13:02Z,94
Cargo,130867,SELENE PRAHM,2422,1278.418915909822,curr,54.38306,18.66144,2016-12-15T03:19:02Z,69
Cargo,130867,SELENE PRAHM,2422,1278.418915909822,prev,54.37166,18.664,2016-12-15T03:13:01Z,71
Cargo,132427,PHOENIX II,6862,57180.84426186048,curr,54.67082,19.80477,2016-12-20T00:41:02Z,92
Cargo,132427,PHOENIX II,6862,57180.84426186048,prev,54.45469,18.99999,2016-12-19T19:03:01Z,68
Cargo,132925,CONTAINERSHIPS 6,13520,2054.2632455942653,curr,55.67983,21.1375,2016-12-13T18:17:07Z,79
Cargo,132925,CONTAINERSHIPS 6,13520,2054.2632455942653,prev,55.69683,21.12467,2016-12-13T18:11:07Z,74
Cargo,144106,NORDIC PHILIP,13031,1463.2123720174052,curr,54.63261,19.91726,2016-12-19T07:49:03Z,79
Cargo,144106,NORDIC PHILIP,13031,1463.2123720174052,prev,54.63322,19.89455,2016-12-19T07:47:02Z,97
Cargo,144628,ARK FORWARDER,12350,13904.586939478864,curr,57.61075,11.62227,2016-12-17T04:57:05Z,192
Cargo,144628,ARK FORWARDER,12350,13904.586939478864,prev,57.67988,11.81698,2016-12-14T02:29:07Z,121
Cargo,145002,CEMSOL,4529,1669.632891839892,curr,55.82241,20.86578,2016-12-18T15:35:06Z,107
Cargo,145002,CEMSOL,4529,1669.632891839892,prev,55.81088,20.8829,2016-12-18T15:33:07Z,107
Cargo,145203,VITIM,22749,183796.83020583185,curr,55.74082,20.80078,2016-12-17T15:39:06Z,104
Cargo,145203,VITIM,22749,183796.83020583185,prev,54.45097,18.99401,2016-12-15T04:43:02Z,155
Cargo,145641,RUTH,11253,1620.1755299967979,curr,59.91236,30.0471,2016-12-20T01:33:03Z,122
Cargo,145641,RUTH,11253,1620.1755299967979,prev,59.91788,30.0202,2016-12-20T01:29:04Z,120
